,driverid,lap,cume_sec
589,Rio Haryanto,27,3043.01500645373
590,Romain Grosjean,27,3043.6550043821335
591,Nico Hülkenberg,27,3050.0949959754944
592,Felipe Nasr,27,3050.8269979953766
593,Jolyon Palmer,27,3059.703986108303
594,Nico Rosberg,28,3070.403002202511
595,Daniil Kvyat,28,3092.3279989361763
596,Sebastian Vettel,28,3093.6569957733154
597,Felipe Massa,28,3105.3020054101944
598,Valtteri Bottas,28,3110.7259944081306
599,Daniel Ricciardo,28,3113.2279946208
600,Carlos Sainz Jr.,28,3115.4160137176514
601,Kimi Räikkönen,28,3116.139994740486
602,Lewis Hamilton,28,3116.686003267765
603,Sergio Pérez,28,3118.2529888153076
604,Max Verstappen,28,3123.926997423172
605,Fernando Alonso,28,3124.4219958782196
606,Esteban Gutiérrez,28,3129.9569967985153
607,Marcus Ericsson,28,3133.2830045819283
608,Jenson Button,28,3137.626994892955
609,Kevin Magnussen,28,3142.2739996910095
610,Romain Grosjean,28,3148.6300028562546
611,Nico Hülkenberg,28,3152.4049973487854
612,Rio Haryanto,28,3153.0260080406442
613,Felipe Nasr,28,3155.154997110367
614,Pascal Wehrlein,28,3160.6590015888214
615,Jolyon Palmer,28,3163.0989865660667
616,Nico Rosberg,29,3171.7600006461143
617,Daniil Kvyat,29,3195.0929983258247
618,Sebastian Vettel,29,3196.356996536255
619,Felipe Massa,29,3208.0240055322647
